Date,Time,TxBat(V),Rx RSSI1(dB),Rx RSSI2(dB),Rx Quality(%),Rx SNR(dB),Antenna,RF Mode,Tx Power(mW),Tx RSSI(dB),Tx Quality(%),Tx SNR(dB),Vario(m/s),Flughoehe(m),Breitengrad, L–ngengrad,GPS Sats,GPS Speed(km/h),GPS Heading(),GPS Alt(m),Rx Batt(V),Rx Curr(A),Rx Cons(mAh),Rx Batt%(%),Abstand(m),
2024-05-10,15:04:16.110,8.13,-32,-23,100,14,1,4,10,-20,100,14,0.05,0.00,48.442799, 11.542336,21,0.00,40.00,12,12.3,0.1,10,0,27,
2024-05-10,15:04:16.170,8.12,-32,-23,100,14,1,4,10,-20,100,14,0.05,0.00,48.442799, 11.542336,21,0.00,40.00,12,12.3,0.1,10,0,27,
2024-05-10,15:04:16.280,8.12,-32,-23,100,14,1,4,10,-20,100,14,0.05,0.00,48.442799, 11.542336,21,0.00,40.00,12,12.3,0.1,10,0,27,
2024-05-10,15:04:16.400,8.12,-32,-23,100,14,1,4,10,-20,100,14,0.03,0.00,48.442799, 11.542336,21,0.00,40.00,12,12.3,0.1,10,0,27,
2024-05-10,15:04:16.510,8.13,-32,-23,100,14,1,4,10,-20,100,14,0.03,0.00,48.442799, 11.542337,21,0.00,40.00,11,12.3,0.1,10,0,27,
2024-05-10,15:04:16.620,8.13,-32,-23,100,14,1,4,10,-19,100,14,0.01,0.00,48.442799, 11.542337,21,0.00,40.00,11,12.3,0.1,10,0,27,
2024-05-10,15:04:16.750,8.12,-32,-23,100,14,1,4,10,-19,100,14,0.01,0.00,48.442799, 11.542337,21,0.00,40.00,11,12.3,0.1,10,0,27,
2024-05-10,15:04:16.860,8.12,-32,-23,100,14,1,4,10,-19,100,14,0.01,0.00,48.442799, 11.542337,21,0.00,40.00,11,12.3,0.1,10,0,27,
2024-05-10,15:04:16.990,8.12,-32,-23,100,14,1,4,10,-19,100,14,0.01,0.00,48.442802, 11.542337,21,0.00,40.00,15,12.3,0.1,10,0,27,
2024-05-10,15:04:17.120,8.12,-32,-23,100,14,1,4,10,-18,100,13,0.00,0.00,48.442802, 11.542337,21,0.00,40.00,15,12.3,0.1,10,0,27,
2024-05-10,15:04:17.230,8.12,-32,-23,100,14,1,4,10,-18,100,13,0.00,0.00,48.442802, 11.542337,21,0.00,40.00,15,12.3,0.1,10,0,27,
2024-05-10,15:04:17.350,8.13,-32,-23,100,14,1,4,10,-20,100,14,0.00,0.00,48.442804, 11.542338,21,0.00,40.00,14,12.3,0.1,10,0,27,
2024-05-10,15:04:17.470,8.13,-32,-23,100,14,1,4,10,-20,100,14,0.00,0.00,48.442804, 11.542338,21,0.00,40.00,14,12.3,0.1,10,0,27,
2024-05-10,15:04:17.600,8.12,-32,-23,100,14,1,4,10,-19,100,14,-0.52,0.00,48.442804, 11.542338,21,0.00,40.00,14,12.3,0.1,10,0,27,
2024-05-10,15:04:17.730,8.12,-32,-23,100,14,1,4,10,-19,100,14,-0.52,0.00,48.442804, 11.542338,21,0.00,40.00,14,12.3,0.1,10,0,27,
2024-05-10,15:04:17.850,8.12,-32,-23,100,14,1,4,10,-19,100,14,-0.52,0.00,48.442805, 11.542338,22,0.00,40.00,9,12.3,0.1,10,0,27,
2024-05-10,15:04:17.960,8.13,-32,-23,100,14,1,4,10,-19,100,14,-0.52,0.00,48.442805, 11.542338,22,0.00,40.00,9,12.3,0.1,10,0,27,
2024-05-10,15:04:18.090,8.13,-32,-23,100,14,1,4,10,-19,100,14,0.03,0.00,48.442805, 11.542338,22,0.00,40.00,9,12.3,0.1,10,0,27,
2024-05-10,15:04:18.220,8.13,-32,-23,100,14,1,4,10,-19,100,14,0.03,0.00,48.442805, 11.542338,22,0.00,40.00,9,12.3,0.1,10,0,27,
2024-05-10,15:04:18.340,8.12,-32,-23,100,14,1,4,10,-19,100,14,0.03,0.00,48.442806, 11.542339,22,0.00,40.00,15,12.3,0.1,10,0,27,
2024-05-10,15:04:18.470,8.12,-32,-23,100,14,1,4,10,-18,100,14,0.06,0.00,48.442806, 11.542339,22,0.00,40.00,15,12.3,0.1,10,0,27,
2024-05-10,15:04:18.590,8.12,-32,-23,100,14,1,4,10,-18,100,14,0.06,0.00,48.442806, 11.542340,22,0.00,40.00,15,12.3,0.1,10,0,27,
2024-05-10,15:04:18.720,8.12,-32,-23,100,14,1,4,10,-20,100,15,0.06,0.00,48.442806, 11.542340,22,0.00,40.00,15,12.3,0.1,10,0,27,
2024-05-10,15:04:18.850,8.12,-32,-23,100,14,1,4,10,-20,100,15,0.06,0.00,48.442806, 11.542340,22,0.00,40.00,15,12.3,0.1,10,0,27,
2024-05-10,15:04:18.980,8.13,-32,-23,100,14,1,4,10,-23,100,14,0.06,0.00,48.442806, 11.542340,22,0.00,40.00,5,12.3,0.1,10,0,27,
2024-05-10,15:04:19.100,8.13,-32,-23,100,14,1,4,10,-23,100,14,0.06,0.00,48.442806, 11.542340,22,0.00,40.00,5,12.3,0.5,10,0,27,
2024-05-10,15:04:19.210,8.12,-32,-24,100,14,1,4,10,-22,100,14,0.05,0.00,48.442806, 11.542340,22,0.00,40.00,5,12.3,0.5,10,0,27,
2024-05-10,15:04:19.320,8.12,-32,-24,100,14,1,4,10,-22,100,14,0.05,0.00,48.442806, 11.542340,22,0.00,40.00,5,12.3,0.5,10,0,27,
2024-05-10,15:04:19.450,8.12,-32,-24,100,14,1,4,10,-19,100,14,0.05,0.00,48.442806, 11.542341,22,0.00,40.00,13,12.3,0.5,10,0,27,
2024-05-10,15:04:19.580,8.13,-32,-24,100,14,1,4,10,-19,100,14,0.05,0.00,48.442806, 11.542341,22,0.00,40.00,13,12.2,6.8,10,0,27,
2024-05-10,15:04:19.690,8.13,-32,-23,100,14,1,4,10,-20,100,15,0.68,0.00,48.442806, 11.542341,22,0.00,40.00,13,12.2,6.8,10,0,27,
