Date,Time,TxBat(V),EMPF.,RSSI 2.4 GHz(dB),VFR(%),Empf.Bat.(V),Vario(m/s),Hoehe(m),Hoehengewinn(m),Fluggeschw.(km/h),Entfernung(m),Breitengrad, L–ngengrad,Satelliten,GPS Zeit(),GPS Alt(m),GPS Geschw.(kn),AccX(g),AccY(g),AccZ(g),U-Akku(V),I-Akku(A),mAh-Akku(mAh),U/min(U/min),Temp. FETs(ÄC),Temp. BEC(ÄC),Gasknueppel(%),PWM(%),U-BEC(V),I-BEC(A),mAh-BEC(mAh),GPS Kurs(Ä),ADC2(V),SR,HR,Gas,QR,Drehg. li.,Drehg. re.,SA,SB,SC,SD,SE,SF,LSch.1,LSch.2,LSch.3,LSch.4,LSch.5,LSch.6,
2023-05-04,13:14:40.300,8.2,0,100,100,6.00,-0.11,1.25,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.022,-0.020,0.105,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1012,-16,-1017,257,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
2023-05-04,13:14:40.330,8.2,0,100,100,6.00,-0.11,1.25,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.022,-0.020,0.105,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1013,-16,-1017,258,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
2023-05-04,13:14:40.400,8.2,0,100,100,6.00,-0.11,1.25,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.022,-0.020,0.105,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1012,-15,-1015,257,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
2023-05-04,13:14:40.470,8.2,0,100,100,6.00,-0.11,1.25,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.022,-0.020,0.105,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1013,-16,-1017,257,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
2023-05-04,13:14:40.540,8.2,0,100,100,6.00,-0.18,1.25,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.016,-0.020,0.105,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1013,-16,-1018,257,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
2023-05-04,13:14:40.610,8.2,0,100,100,6.00,-0.18,1.25,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.016,0.004,0.105,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1012,-15,-1019,258,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
2023-05-04,13:14:40.680,8.2,0,100,100,6.00,-0.18,1.25,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.016,0.004,0.108,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1012,-16,-1019,258,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
2023-05-04,13:14:41.760,8.2,0,100,100,6.00,-0.18,1.25,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.016,0.004,0.108,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1013,-15,-1018,257,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
2023-05-04,13:14:41.820,8.2,0,100,100,6.00,-0.11,1.25,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.016,0.004,0.108,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1013,-16,-1017,257,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
2023-05-04,13:14:41.890,8.2,0,100,100,6.00,-0.11,1.19,0.1,0.0,3,48.471020, 11.474393,19,2023-05-04 13:14:41,5.30,0.180,-0.016,0.004,0.108,12.37,0.1,19,0,28,28,0,100,5.99,0.0,0,301.10,0.00,0,0,1013,-15,-1018,258,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,
