Date,Time,TxBat(V),VSpeed(m/s),Altitude(m),VFR(%),RxBatt(V),RSSI(dB),RX,VFAS(V),Temp 1(°,Current(A),ADC2(V),GPS Alt(m),Temp 2(°,Latitude, Longitude,GPS Speed(km/h),Consumption(mAh),Distance(m),Power(W),CELLS(V),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Pot3,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,
2024-07-20,18:20:42.990,7.46,-0.03,1.57,100,5.68,100,0,25.13,31,0.2,23.07,-9.00,-26,50.179721, 8.835231,0.159,48,6,5,4.18,0,0,-1023,0,-502,1024,147,-1024,-648,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:43.080,7.45,-0.01,1.56,100,5.71,100,0,25.13,31,0.2,23.07,-9.00,-26,50.179721, 8.835231,0.159,48,6,5,4.18,0,0,-1023,0,-502,1024,147,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:43.350,7.45,0.00,1.57,100,5.69,100,0,25.13,31,0.5,23.07,-9.40,-26,50.179719, 8.835231,0.513,48,6,13,4.18,0,0,-1022,0,-501,1024,147,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:43.610,7.45,0.02,1.53,100,5.70,100,0,25.13,31,0.5,23.07,-9.40,-26,50.179719, 8.835231,0.513,48,6,13,4.18,0,0,-1023,0,-501,1024,147,-1024,-648,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:43.870,7.45,-0.02,1.53,100,5.75,100,0,25.13,31,0.2,23.08,-9.40,-26,50.179719, 8.835231,0.261,48,6,5,4.18,0,0,-404,0,-501,1024,147,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:44.130,7.45,0.03,1.60,100,5.77,100,0,25.13,31,0.8,23.24,-9.40,-26,50.179719, 8.835231,0.261,48,6,20,4.18,0,0,-83,0,-502,1023,147,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:44.390,7.45,0.11,1.65,100,5.82,100,0,25.12,31,13.1,23.24,-9.50,-26,50.179718, 8.835232,0.298,48,6,329,4.18,0,0,107,0,-502,1023,147,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:44.670,7.45,0.12,1.70,100,5.82,100,0,25.06,31,21.5,23.20,-9.50,-26,50.179718, 8.835232,0.298,50,6,539,4.17,0,0,204,0,-502,1023,146,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:44.950,7.45,0.19,1.97,100,5.84,100,0,24.99,31,18.2,23.15,-9.50,-26,50.179718, 8.835232,0.293,51,6,455,4.16,0,0,661,0,-501,1023,146,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:45.220,7.45,0.58,2.33,100,5.78,100,0,24.66,31,91.9,23.15,-9.50,-26,50.179716, 8.835232,0.293,54,7,2000,4.11,0,0,1015,0,-501,1024,147,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:45.500,7.46,1.07,3.00,100,5.79,100,0,24.42,31,76.1,23.11,-9.70,-26,50.179716, 8.835234,0.332,61,7,1858,4.07,0,0,1015,0,-502,1024,146,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:45.770,7.46,1.45,3.52,100,5.75,100,0,24.23,31,74.1,23.11,-9.70,-26,50.179716, 8.835234,0.954,67,7,1795,4.03,0,0,1015,0,-502,1024,146,-1024,-648,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:46.030,7.45,2.06,4.57,100,5.76,100,0,24.23,31,72.2,23.11,-9.70,-26,50.179716, 8.835234,0.954,72,8,1749,4.03,0,0,1015,0,-501,1023,146,-1024,-648,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:46.310,7.45,2.75,5.55,100,5.74,99,0,24.08,31,73.4,23.11,-9.80,-26,50.179716, 8.835237,2.326,78,8,1767,4.01,0,0,1015,0,-501,1024,146,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:46.590,7.45,3.12,6.56,100,5.81,94,0,23.95,31,72.9,23.11,-9.80,-26,50.179716, 8.835237,2.326,83,9,1746,3.99,0,0,1015,296,-502,1023,146,-1024,-649,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:46.880,7.45,3.65,7.90,100,5.80,82,0,23.85,31,72.9,23.10,-9.80,-26,50.179716, 8.835237,2.928,89,10,1739,3.97,0,24,1015,868,-502,1024,146,-1024,-644,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:47.160,7.45,4.29,9.42,99,5.73,78,0,23.75,31,74.2,23.10,-9.80,-26,50.179716, 8.835237,2.928,95,11,1762,3.95,0,28,1015,841,-501,1024,146,-1024,-644,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:47.430,7.45,5.07,11.19,99,5.72,76,0,23.67,31,76.1,23.10,-9.90,-26,50.179717, 8.835245,3.071,101,13,1801,3.94,0,372,1014,157,-502,1024,147,-1024,-644,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:47.690,7.44,6.11,13.27,99,5.72,74,0,23.61,31,74.1,23.10,-9.90,-26,50.179717, 8.835245,3.071,106,14,1750,3.93,0,337,1014,-86,-502,1024,146,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:47.960,7.44,6.83,15.63,100,5.78,73,0,23.55,31,75.2,23.08,-9.90,-26,50.179717, 8.835245,2.689,112,17,1771,3.92,0,51,1014,-92,-501,1024,146,-1024,-647,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:48.240,7.44,7.58,17.78,100,5.74,75,0,23.51,31,71.5,23.08,-9.90,-26,50.179717, 8.835245,2.689,118,19,1681,3.91,9,-112,1015,-44,-501,1023,147,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:48.520,7.44,8.22,20.43,100,5.74,74,0,23.47,31,69.4,23.06,-10.20,-26,50.179717, 8.835253,2.021,123,21,1629,3.91,21,-256,1015,-216,-501,1024,146,-1024,-645,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:48.800,7.43,8.75,22.88,100,5.76,71,0,23.46,31,70.8,23.04,-10.20,-26,50.179717, 8.835253,1.913,129,24,1661,3.91,0,-305,1014,-185,-501,1023,146,-1024,-644,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:49.080,7.43,9.52,25.70,100,5.82,70,0,23.44,31,70.4,23.06,-10.20,-26,50.179717, 8.835253,1.913,134,26,1650,3.90,0,84,1015,0,-502,1024,146,-1024,-645,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:49.380,7.43,10.00,30.32,99,5.80,69,0,23.41,31,70.7,23.06,-10.20,-26,50.179718, 8.835260,1.076,140,31,1655,3.90,0,0,1014,0,-501,1024,146,-1024,-644,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:49.670,7.43,10.00,35.51,99,5.78,68,0,23.39,31,71.0,23.06,-10.20,-26,50.179718, 8.835260,1.076,146,35,1661,3.89,0,143,1014,0,-502,1023,147,-1024,-644,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:49.960,7.43,10.00,40.41,99,5.82,67,0,23.38,31,69.5,23.07,-10.20,-26,50.179718, 8.835260,1.076,151,40,1625,3.89,0,486,1015,0,-501,1023,146,-1024,-645,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:50.230,7.43,10.00,45.76,99,5.83,67,0,23.38,31,70.5,23.08,-10.50,-26,50.179718, 8.835260,1.982,157,46,1648,3.89,0,235,1014,0,-501,1024,146,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:50.510,7.43,10.00,50.57,99,5.79,63,0,23.36,31,71.1,23.08,-10.50,-26,50.179717, 8.835267,1.982,162,51,1661,3.89,0,263,1015,0,-502,1024,146,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:50.800,7.43,10.00,55.77,99,5.82,60,0,23.34,31,71.1,23.08,-10.50,-26,50.179717, 8.835267,4.513,168,56,1659,3.89,0,116,1015,0,-501,1024,146,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:51.110,7.43,10.00,60.86,99,5.84,60,0,23.32,31,69.7,23.06,-10.50,-26,50.179717, 8.835267,4.513,174,61,1625,3.88,0,153,1015,0,-501,1024,147,-1024,-645,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:51.400,7.43,10.00,66.06,98,5.77,60,0,23.28,31,71.8,23.05,-10.70,-26,50.179718, 8.835294,20.742,180,66,1672,3.88,0,157,1015,-102,-502,1023,147,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:51.680,7.43,10.00,70.45,98,5.76,59,0,23.28,31,69.8,23.06,-10.70,-26,50.179718, 8.835294,20.742,185,70,1625,3.88,0,368,1014,0,-502,1024,147,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:51.960,7.42,10.00,75.52,98,5.82,60,0,23.27,31,69.2,23.06,-10.70,-26,50.179718, 8.835294,27.906,191,75,1610,3.87,0,280,1015,0,-501,1024,146,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:52.240,7.41,10.00,79.94,98,5.79,61,0,23.25,31,69.2,23.09,-10.70,-26,50.179735, 8.835360,27.906,196,81,1609,3.87,0,289,1014,0,-502,1024,147,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:52.540,7.41,10.00,84.79,98,5.77,58,0,23.24,31,70.2,23.10,-7.40,-26,50.179735, 8.835360,39.169,202,85,1631,3.87,0,394,1015,0,-501,1007,147,-1024,-646,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:52.820,7.41,10.00,88.76,98,5.78,58,0,23.22,31,68.5,23.10,-7.40,-26,50.179735, 8.835360,49.794,207,89,1591,3.87,0,210,1015,-33,-501,996,146,-1024,-647,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:53.120,7.41,10.00,93.16,98,5.78,57,0,23.21,31,68.8,23.10,-7.40,-26,50.179735, 8.835360,49.794,213,93,1597,3.86,0,210,1014,-54,-501,846,147,-1024,-647,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:53.420,7.41,10.00,97.36,98,5.78,57,0,23.21,31,67.3,23.10,-1.00,-26,50.179784, 8.835523,59.658,218,99,1562,3.86,0,249,1015,0,-502,421,146,-1024,-647,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:53.730,7.41,10.00,101.60,98,5.79,54,0,23.20,31,67.5,23.10,-1.00,-26,50.179784, 8.835523,59.658,224,104,1566,3.86,0,215,1015,0,-501,-46,146,-1024,-647,0,0,0,0,0,1,0,-1,-1,-1,
2024-07-20,18:20:54.030,7.41,10.00,105.63,98,5.75,55,0,23.20,31,66.2,23.07,-1.00,-26,50.179784, 8.835523,69.351,230,108,1536,3.86,0,134,1014,-201,-502,-327,147,-1024,-647,0,0,0,0,0,1,0,-1,-1,-1,
