Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 050%, 5, 015%, -31dBm, 001, 6, 9
00:02, 020%, 0, 025%, -49dBm, 001, 13, 20
00:03, 050%, 0, 025%, -56dBm, 001, 23, 30
00:05, 050%, 0, 025%, -55dBm, 001, 33, 37
00:06, 050%, 0, 025%, -59dBm, 001, 43, 48
00:07, 065%, 1, 020%, -63dBm, 001, 50, 56
00:07, 030%, 2, 025%, -72dBm, 001, 56, 62
00:08, 020%, 2, 025%, -76dBm, 001, 66, 70
00:10, 030%, 2, 030%, -73dBm, 001, 80, 85
00:11, 055%, 1, 020%, -65dBm, 001, 89, 94
00:12, 100%, 2, 025%, -59dBm, 001, 98, 104
00:13, 095%, 1, 025%, -61dBm, 001, 107, 114
00:14, 095%, 1, 025%, -61dBm, 001, 117, 125
00:15, 090%, 2, 025%, -60dBm, 001, 126, 134
00:16, 080%, 2, 025%, -61dBm, 001, 135, 143
00:17, 100%, 0, 025%, -61dBm, 001, 143, 153
00:18, 100%, 0, 025%, -64dBm, 001, 151, 161
00:19, 100%, 2, 025%, -61dBm, 001, 156, 166
00:19, 070%, 2, 025%, -60dBm, 001, 165, 169
00:21, 045%, 2, 025%, -62dBm, 001, 175, 162
00:22, 100%, 1, 025%, -52dBm, 001, 183, 146
00:23, 100%, 1, 025%, -49dBm, 001, 189, 125
00:23, 100%, 0, 025%, -53dBm, 001, 193, 113
00:24, 100%, 0, 025%, -53dBm, 001, 189, 109
00:25, 100%, 0, 025%, -54dBm, 001, 189, 107
00:26, 100%, 0, 025%, -57dBm, 001, 192, 105
00:27, 100%, 0, 025%, -53dBm, 001, 195, 102
00:28, 100%, 0, 025%, -52dBm, 001, 195, 97
00:29, 090%, 0, 025%, -56dBm, 001, 193, 90
00:30, 100%, 0, 025%, -50dBm, 001, 190, 81
00:31, 100%, 0, 025%, -49dBm, 001, 188, 76
00:32, 100%, 1, 025%, -50dBm, 001, 188, 74
00:33, 095%, 1, 025%, -54dBm, 001, 188, 76
00:34, 100%, 2, 025%, -54dBm, 001, 188, 83
00:35, 090%, 0, 025%, -56dBm, 001, 188, 90
00:37, 100%, 0, 025%, -56dBm, 001, 187, 97
00:38, 090%, 1, 025%, -57dBm, 001, 186, 103
00:39, 100%, 1, 025%, -56dBm, 001, 185, 110
00:40, 090%, 0, 025%, -56dBm, 001, 184, 121
00:41, 100%, 0, 025%, -52dBm, 001, 184, 130
00:42, 100%, 0, 025%, -52dBm, 001, 183, 141
00:43, 100%, 0, 025%, -56dBm, 001, 180, 152
00:44, 100%, 0, 025%, -56dBm, 001, 179, 164
00:44, 100%, 0, 025%, -57dBm, 001, 178, 174
00:45, 100%, 0, 025%, -60dBm, 001, 177, 185
00:46, 100%, 0, 025%, -60dBm, 001, 174, 195
00:47, 100%, 0, 025%, -61dBm, 001, 172, 207
00:48, 100%, 0, 025%, -62dBm, 001, 171, 216
00:49, 100%, 0, 020%, -64dBm, 001, 171, 58148
00:50, 060%, 0, 025%, -67dBm, 001, 169, 236
00:51, 100%, 0, 025%, -62dBm, 001, 165, 237
00:52, 100%, 0, 025%, -61dBm, 001, 160, 230
00:53, 100%, 0, 025%, -61dBm, 001, 155, 222
00:54, 100%, 0, 025%, -60dBm, 001, 150, 215
00:55, 100%, 0, 025%, -57dBm, 001, 149, 210
00:56, 100%, 0, 025%, -56dBm, 001, 150, 206
00:57, 100%, 0, 025%, -56dBm, 001, 151, 202
