$N$;Logo 500 08.11.23
$T$;0;yyyyMMdd HHmmss.f
$C$;Empfängerspannung [V];Empfänger LQI [%];Akku Spannung [V];Akku Strom [A];Verbrauchte Kapazität [mAh];Drehzahl (RPM) [1/min];Höhe [m];Restladung [m/s];Absolute Höhe [m];Leistung [W]
$F$;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
$S$;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
$20231108 105802.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105803.3;5.5;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105803.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105804.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105804.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105805.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105805.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105806.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105806.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105807.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105807.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105808.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105808.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105809.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105809.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105810.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105810.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105811.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105811.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105812.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105812.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105813.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105813.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105814.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105814.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105815.3;5.6;100;24.6;0.0;0;0;0;;369;0.0
$20231108 105815.8;5.6;100;24.6;0.0;0;0;0;;369;0.0
